ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,dividendRate,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
AMATAV.bk,SET,2025-04-03,Real Estate Services,Real Estate,9186509824.0,0.495,0.01877,0.6848756,82.059,0.021540001,1.271,0.09,0.05,9681413149.0,1114887270.0,419256330.0,2024-12-31,-1186634966.0,0.0412,0.0647513438735861,3.380000114440918,4.699999809265137,0.0456382606705194,0.0388333330612185,-0.1291714686789845,32.05555682712131,37.55555682712132,0.7191489897037664,0.1464496991834799,130.0,112.0,242.0,0
AMC.bk,SET,2025-04-03,Steel,Basic Materials,1903259904.0,0.338,0.00973,0.28699812,33.811,0.021429999,1.547,0.15,0.1,2493584323.0,930451710.0,53279008.0,2024-12-31,-2230608.0,0.1099,-0.1151242309832965,1.9700000286102293,3.1539998054504395,0.0279935535278317,0.0155602941927334,-0.0011719933758453,10.880000190734863,13.133333524068195,0.6246037254681706,0.1715736015691573,76.0,194.0,270.0,0
ANI.bk,SET,2025-04-03,Integrated Freight & Logistics,Industrials,4927692288.0,0.666,0.078839995,0.6269295,13.987,0.09458,1.381,0.36,0.25,8132124895.0,532325129.0,991298412.0,2024-12-31,1138483402.0,0.1176,0.4488920898085086,2.680000066757202,3.7142858505249023,0.2011688949032038,0.1144098482020397,0.2310378439766732,5.594444629881117,7.444444629881118,0.7215384530456816,0.2485074564963946,410.0,324.0,734.0,1
AOT.bk,SET,2025-04-03,Airports & Air Services,Industrials,596745256960.0,1.093,0.2886,4.275626,37.634,0.16485001,1.348,1.39,0.79,177763725717.0,6733222788.0,28338346477.0,2024-12-31,28755450643.0,0.0192,1.133746824007526,39.25,63.92496109008789,0.0474881805032922,0.1535979142561916,0.0481871457001416,27.451079136690648,28.23741007194245,0.6140011558972391,0.0278471337579617,136.0,263.0,399.0,0
AP.bk,SET,2025-04-03,Real Estate - Development,Real Estate,54780665856.0,0.815,0.13414,0.55475503,75.936,0.118990004,4.025,1.6,0.6,9995526777.0,56289211034.0,5874022692.0,2024-12-31,3030229624.0,0.1009,1.1066982381466028,7.699999809265137,10.0,0.1072280265347784,0.0886180271052562,0.0553156771034046,4.30312488079071,4.8124998807907104,0.7699999809265137,0.1058441584659962,317.0,279.0,596.0,1
APCO.bk,SET,2025-04-03,Household & Personal Products,Consumer Defensive,1607338752.0,0.586,0.2595,3.5344827,4.307,0.09516,10.753,0.09,0.09,220490211.0,376883915.0,53109364.0,2024-12-31,35356417.0,0.1304,0.8320722698150506,3.220000028610229,5.599999904632568,0.0330417990196008,0.0889046942083326,0.0219968671544851,29.266666984558107,35.77777809566922,0.5750000149011615,0.181987576022762,87.0,314.0,401.0,0
APURE.bk,SET,2025-04-03,Farm Products,Consumer Defensive,3350371584.0,0.3,0.12872,1.3229859,7.342,0.109969996,4.197,0.29,0.22,1491188507.0,1164148593.0,343857155.0,2024-12-31,164092212.0,0.1448,-0.0001561319900951,3.5799999237060547,4.018444538116455,0.1026325428027508,0.1294966108069668,0.0489773172574758,11.31034456450364,12.344827323124328,0.8908919582560892,0.0837988844674155,311.0,352.0,663.0,1
AS.bk,SET,2025-04-03,Electronic Gaming & Multimedia,Communication Services,926560640.0,0.705,0.16902,0.8784314,12.049,0.16383,1.623,0.38,0.0,1206187578.0,193834175.0,177333586.0,2024-12-31,108612219.0,0.2857,1.5538990637545351,2.259999990463257,4.579999923706055,0.1913890773516993,0.1266648790420615,0.1172208426638973,4.092105238061202,5.947368395955939,0.4934497877970498,0.3119469039712201,404.0,415.0,819.0,1
ASAP.bk,SET,2025-04-03,Rental & Leasing Services,Industrials,8264691712.0,0.206,-0.00332,1.2800001,825.465,0.02497,0.806,-0.04,0.0,5308418503.0,-821633950.0,368433721.0,2024-12-31,164753094.0,0.0378,0.8087886237545073,1.440000057220459,2.5199999809265137,0.0445792455228607,0.0821153136835273,0.0199345722431225,-30.85000143051148,-36.000001430511475,0.5714285984601566,0.1430555498710387,127.0,186.0,313.0,0
ASEFA.bk,SET,2025-04-03,Electrical Equipment & Parts,Industrials,2019932160.0,0.514,0.022349998,0.8284682,39.967,0.04295,1.26,0.13,0.14,1707907599.0,358739668.0,98032664.0,2024-12-31,330990750.0,0.0891,0.1552506789199543,2.9600000381469727,3.2799999713897705,0.0485326517104416,0.0474356052749663,0.1638623101084741,18.815384908822864,22.769231062669014,0.9024390438920612,0.1736486464107533,138.0,215.0,353.0,0
ASIA.bk,SET,2025-04-03,Lodging,Consumer Cyclical,4087914496.0,0.281,-0.00171,0.2786276,39.584,-0.00093000004,0.55,-0.01,0.26,9917150850.0,-182958407.0,58189315.0,2024-12-31,213944442.0,-0.0009,0.5807847025036784,5.150000095367432,6.624950408935547,0.0142344745852531,0.0059778266497951,0.0523358407347666,-486.9000095367432,-515.0000095367432,0.7773643238779956,0.0545631057857197,30.0,16.0,46.0,0
ASIAN.bk,SET,2025-04-03,Packaged Foods,Consumer Defensive,6607149568.0,1.419,0.07804,0.8900589,0.505,0.14606,5.817,1.04,1.12,3994749353.0,4320189932.0,1278345768.0,2024-12-31,1339228959.0,0.1539,0.5796318962703201,7.599999904632568,9.100000381469728,0.1934791629648181,0.1537408421377306,0.2026939068378601,5.943269139069777,7.307692215992854,0.8351647896749983,0.1867105286586978,406.0,369.0,775.0,1
ASIMAR.bk,SET,2025-04-03,Aerospace & Defense,Industrials,561540096.0,0.268,0.04824,0.78089887,57.901,0.11444,1.031,0.2,0.12,509709498.0,13826777.0,68987940.0,2024-12-31,-90196791.0,0.0751,0.4359547401392286,1.399999976158142,1.46150004863739,0.1228548780245961,0.1317729893692657,-0.1606239548030422,5.65999988079071,6.9999998807907104,0.9579198970697356,0.1914285746885806,346.0,300.0,646.0,1
ASK.bk,SET,2025-04-03,Credit Services,Financial Services,62932893696.0,2.022,0.118599996,0.36042947,584.079,0.03162,2.36,0.63,0.32,45971517230.0,-2977810972.0,1315691462.0,2024-12-31,5316914316.0,0.0382,1.3792104007377353,7.0,12.62530517578125,0.0209062603788013,0.0306019549490498,0.0844854575046807,7.901587301587301,11.11111111111111,0.5544420433834656,0.2888571428571428,48.0,94.0,142.0,0
ASP.bk,SET,2025-04-03,Capital Markets,Financial Services,3383403008.0,3.171,0.1619,0.8583691,119.641,0.07275,1.882,0.17,0.15,1026215151.0,5315599267.0,385268853.0,2024-12-31,2079351894.0,0.1122,0.4133270140096752,1.9900000095367432,2.446788787841797,0.1138702224030179,0.0607505719351373,0.6145741104690772,-6.947058767430921,11.705882409039663,0.8133109075148384,1.5934673290469905,326.0,264.0,590.0,1
ASW.bk,SET,2025-04-03,Real Estate - Development,Real Estate,18998292480.0,1.582,0.14653,0.73122984,160.984,0.18488,1.566,1.62,0.25,6214501214.0,9255757708.0,1922489653.0,2024-12-31,24267370.0,0.1127,0.1334779587626481,6.349999904632568,7.800000190734863,0.1011927600874581,0.124270037282056,0.0012773447943043,2.943209817674425,3.919753027550968,0.8141025319685684,0.2491338620093317,307.0,329.0,636.0,1
AURA.bk,SET,2025-04-03,Luxury Goods,Consumer Cyclical,30559051776.0,0.431,0.03479,3.6898062,127.972,0.18792999,1.739,0.85,0.42,1493800112.0,6448754500.0,1813452045.0,2024-12-31,-1461925147.0,0.1989,0.86515979619177,17.200000762939453,15.0,0.0593425495755801,0.2283210042094199,-0.0478393491302025,19.728236191693476,20.235295015222885,1.1466667175292968,0.0250581384233812,178.0,418.0,596.0,1
