ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
0186.HK,2024-09-01,Real Estate—Development,Real Estate,712451456.0,0.228,0.05919,6.7500005,0.135,0.135,0.35,4255000000.0,3326000000.0,215000000.0,236000000.0,2024-03-31,-159.26,0.0
0189.HK,2024-09-01,Chemicals,Basic Materials,12381275136.0,1.562,0.05026,14.538463,5.67,4.92,10.14,21948745000.0,4559789000.0,654830000.0,475230000.0,2023-12-31,-78.84,13.23
0195.HK,2024-09-01,Other Industrial Metals & Mining,Basic Materials,315592992.0,0.147,0.08331,5.6,0.28,0.249,0.9,1664463000.0,313518000.0,194304000.0,226116000.0,2023-12-31,-221.43,11.07
0206.HK,2024-09-01,Oil & Gas Equipment & Services,Energy,576761408.0,0.022,0.057189997,9.150001,0.183,0.183,0.26,326301000.0,128341000.0,14078000.0,12685000.0,2023-12-31,-42.08,0.0
0213.HK,2024-09-01,Footwear & Accessories,Consumer Cyclical,4705443328.0,0.735,0.07114,9.599999,0.48,0.46,0.81,8580597294.0,2542738851.0,255540763.0,13981888.0,2024-03-31,-68.75,4.17
0217.HK,2024-09-01,Steel,Basic Materials,4928141824.0,0.162,0.081020005,8.200001,0.082,0.068,0.11,10570196000.0,4104661000.0,410071000.0,183864000.0,2023-12-31,-34.15,17.07
0220.HK,2024-09-01,Beverages—Non-Alcoholic,Consumer Defensive,27424032768.0,0.966,0.05959,15.311111,6.89,4.3,7.55,22134218000.0,8015176000.0,2293671000.0,1364689000.0,2023-12-31,-9.58,37.59
0228.HK,2024-09-01,Oil & Gas Integrated,Energy,1036313024.0,0.006,0.20636,7.8,0.078,0.066,0.136,2366420000.0,304698000.0,139941000.0,150221000.0,2023-12-31,-74.36,15.38
0229.HK,2024-09-01,"Furnishings, Fixtures & Appliances",Consumer Cyclical,99343504.0,0.742,0.05579,6.714286,0.94,0.73,1.09,891050000.0,217352000.0,54309000.0,54309000.0,2023-12-31,-15.96,22.34
0232.HK,2024-09-01,Aerospace & Defense,Industrials,497612960.0,0.098,0.08863,11.7,0.117,0.062,0.195,3979064000.0,506859000.0,104217000.0,65202000.0,2023-12-31,-66.67,47.01
