ticker,market,date_pulling,industry,sector,marketCap,enterpriseValue,currentPrice,totalCashPerShare,profitMargins,trailingPE,Total Non Current Assets,Working Capital,EBIT,Operating Income,ttm_latest,beta_earnings,numofyear,avg_MF_ROC
AU.bk,mai,2024-10-09,Restaurants,Consumer Cyclical,8156239872.0,8033854976.0,10.0,0.488,0.16454001,34.48276,823239000.0,275661000.0,292548362.0,288988711.0,2024-06-30,3.5698,5.0,0.1057
AUCT.bk,mai,2024-10-09,Auto & Truck Dealerships,Consumer Cyclical,5142500352.0,5361680896.0,9.35,1.166,0.29663,13.169015,1257233479.0,224863455.0,512426281.0,512426281.0,2024-06-30,3.4037,5.0,0.2611
AURA.bk,SET,2024-10-09,Luxury Goods,Consumer Cyclical,19609800704.0,27338426368.0,14.7,0.146,0.03334,19.6,1593652000.0,6269367000.0,1571550292.0,1808198729.0,2024-06-30,3.6296,5.0,0.1963
AWC.bk,SET,2024-10-09,Lodging,Consumer Cyclical,120918597632.0,193100431360.0,3.72,0.012,0.35952,21.882353,177413906000.0,-40724619000.0,8380699348.0,3692015751.0,2024-06-30,3.3763,5.0,0.0035
BA.bk,SET,2024-10-09,Airlines,Industrials,51870003200.0,48948678656.0,24.7,6.893,0.1733,12.538072,40941887000.0,6013394000.0,5325366328.0,3784204500.0,2024-06-30,3.3528,5.0,-0.0512
BAREIT.bk,SET,2024-10-09,REIT - Specialty,Real Estate,10123400192.0,13245723648.0,9.8,0.206,0.67989,9.245284,14231085000.0,314147000.0,1368189511.0,1096466166.0,2024-06-30,1.0,2.0,0.0754
BBIK.bk,mai,2024-10-09,Consulting Services,Industrials,8050604032.0,7746593792.0,40.25,1.718,0.18628,30.492422,1267550967.0,706819864.0,319778654.0,257171637.0,2024-06-30,3.1997,5.0,0.2278
BCH.bk,SET,2024-10-09,Medical Care Facilities,Healthcare,44393201664.0,45857718272.0,17.8,0.634,0.12195,30.689655,13393219000.0,794703000.0,2052032186.0,1957831894.0,2024-06-30,-1.2795,5.0,0.2647
BCT.bk,SET,2024-10-09,Specialty Chemicals,Basic Materials,21899999232.0,15804463104.0,73.0,18.582,0.33625,4.8472776,26941406000.0,7994231000.0,5268026756.0,2009431354.0,2024-06-30,-0.941,5.0,0.141
BDMS.bk,SET,2024-10-09,Medical Care Facilities,Healthcare,472786993152.0,484937629696.0,29.75,0.451,0.14344,30.989584,122650276000.0,3055778000.0,20142458268.0,19819104906.0,2024-06-30,3.4708,5.0,0.1148
BE8.bk,mai,2024-10-09,Information Technology Services,Technology,5294179840.0,5570399232.0,20.0,0.966,0.07778,28.571428,2410818000.0,637266000.0,243043038.0,243997295.0,2024-06-30,3.5607,5.0,0.1015
BEC.bk,SET,2024-10-09,Broadcasting,Communication Services,8760000512.0,7089926144.0,4.38,2.027,0.047509998,39.818184,4567525000.0,2819583000.0,460738179.0,339005735.0,2024-06-30,0.1648,5.0,0.0721
BEM.bk,SET,2024-10-09,Railroads,Industrials,120572092416.0,190921752576.0,8.05,0.155,0.22108999,33.541668,108636891000.0,-11730385000.0,6859245776.0,6880094607.0,2024-06-30,3.2687,5.0,0.0452
BGC.bk,SET,2024-10-09,Packaging & Containers,Consumer Cyclical,5208330240.0,16410936320.0,7.5,0.097,0.023340002,14.705883,13852193000.0,-5174964000.0,778141000.0,655141000.0,2024-06-30,-2.1264,5.0,0.0747
BH.bk,SET,2024-10-09,Medical Care Facilities,Healthcare,216217141248.0,202413129728.0,272.0,13.922,0.28964,31.050228,14925912000.0,11652677000.0,9403095821.0,9146462024.0,2024-06-30,3.1939,5.0,0.1952
BIG.bk,SET,2024-10-09,Specialty Retail,Consumer Cyclical,1623284864.0,1591404288.0,0.46,0.102,0.02643,15.333334,823145000.0,1109266000.0,124449734.0,124449734.0,2024-06-30,2.4433,5.0,0.0199
BIS.bk,mai,2024-10-09,Packaged Foods,Consumer Defensive,1161800064.0,1123165952.0,3.7,0.194,0.02478,18.5,219281000.0,584465000.0,85306000.0,85306000.0,2024-06-30,-0.9542,5.0,0.1993
BIZ.bk,SET,2024-10-09,Medical Devices,Healthcare,2102572416.0,1804313728.0,3.5,0.879,0.122329995,12.068966,441091000.0,511322000.0,238328228.0,226028665.0,2024-06-30,-0.0181,5.0,0.2427
BJCHI.bk,SET,2024-10-09,Metal Fabrication,Industrials,2254646272.0,1790012032.0,1.41,0.286,0.13819,6.714286,1259140056.8,2370956271.1,311894368.28,337498108.6500001,2024-06-30,3.9094,5.0,0.0045
BKGI.bk,SET,2024-10-09,Diagnostics & Research,Healthcare,1728000128.0,1268973056.0,2.88,0.681,0.14115,48.000004,84371000.0,445904000.0,43197000.0,43197000.0,2024-06-30,-0.2499,5.0,0.3376
BLAND.bk,SET,2024-10-09,Real Estate - Diversified,Real Estate,10932137984.0,19660523520.0,0.63,0.213,0.26212,10.5,62580781000.0,-914997000.0,2159070986.0,553984008.0,2024-06-30,2.7152,5.0,0.0004
BLC.bk,SET,2024-10-09,Household & Personal Products,Consumer Defensive,3390000128.0,2655873024.0,5.65,1.434,0.10682999,20.925926,566726570.0,1244072634.0,219936969.0,219936969.0,2024-06-30,2.7573,4.0,0.2221
BM.bk,mai,2024-10-09,Metal Fabrication,Industrials,1849295616.0,2156906496.0,3.1,0.064,0.03313,38.75,1016982000.0,141902000.0,62124838.0,76767379.0,2024-06-30,1.2527,5.0,0.074
BOFFICE.bk,SET,2024-10-09,REIT - Office,Real Estate,3689359872.0,5330190848.0,5.0,0.833,0.50315,8.196721,9630099849.0,-262978823.0,517138625.0,582555617.0,2024-06-30,0.7682,5.0,0.0626
BOL.bk,mai,2024-10-09,Consulting Services,Industrials,4964055552.0,4598201344.0,6.05,0.518,0.37424,17.794119,726213000.0,425890000.0,340878181.0,288994397.0,2024-06-30,3.4889,5.0,0.2681
BR.bk,SET,2024-10-09,Farm Products,Consumer Defensive,1708145792.0,6458523136.0,1.87,0.319,0.030369999,7.192308,7927425000.0,-217507000.0,629719310.0,626401668.0,2024-06-30,2.9474,5.0,0.0554
BRI.bk,SET,2024-10-09,Real Estate - Development,Real Estate,4248343552.0,15986043904.0,4.98,0.318,0.21416001,4.1499996,2118978000.0,6935272000.0,1447854812.0,1386216039.0,2024-06-30,3.0641,5.0,0.2362
BRR.bk,SET,2024-10-09,Confectioners,Consumer Defensive,3800627712.0,9031922688.0,4.68,0.116,0.13314,4.141593,6041545387.0,1129975881.0,1346196408.0,1166752363.0,2024-06-30,2.9509,5.0,0.0721
BTNC.bk,SET,2024-10-09,Apparel Retail,Consumer Cyclical,230400016.0,223824000.0,19.2,2.385,0.091409996,7.7108436,300297000.0,229148000.0,35110294.0,4946437.0,2024-06-30,3.3159,5.0,-0.0547
BVG.bk,mai,2024-10-09,Software - Application,Technology,1466999936.0,976622016.0,3.26,1.036,0.117189996,23.285713,288205666.0,501546804.0,78203124.0,70436497.0,2024-06-30,0.7769,5.0,0.1498
CAZ.bk,mai,2024-10-09,Engineering & Construction,Industrials,911400000.0,1608386176.0,3.1,0.132,0.06053,4.366197,895501000.0,244961000.0,289513453.0,289513453.0,2024-06-30,3.3695,5.0,0.2495
CBG.bk,SET,2024-10-09,Beverages - Non-Alcoholic,Consumer Defensive,79500001280.0,84249182208.0,79.5,0.938,0.13328,31.927711,13538961000.0,343207000.0,3140371323.0,2996964533.0,2024-06-30,-3.0122,5.0,0.2427
CCET.bk,SET,2024-10-09,Computer Hardware,Technology,41591001088.0,53465034752.0,3.98,0.792,0.01234,22.11111,21955668000.0,15481410000.0,3645862689.0,3695909936.0,2024-06-30,3.4686,5.0,0.0723
CCP.bk,SET,2024-10-09,Building Materials,Basic Materials,885769536.0,1546480640.0,0.32,0.078,0.03398,8.0,1942363000.0,-57518000.0,212011000.0,207364000.0,2024-06-30,2.267,5.0,0.068
CENTEL.bk,SET,2024-10-09,Resorts & Casinos,Consumer Cyclical,51975000064.0,77816733696.0,38.5,2.005,0.06122,37.019234,51374176000.0,-3814096000.0,2991302692.0,1573896031.0,2024-06-30,3.1365,5.0,-0.0111
