ticker,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,totalCashPerShare,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest
APOG,2024-08-18,Building Products & Equipment,Industrials,1392319488.0,63.48,1480170240.0,1.445,888979000.0,227103000.0,143967000.0,141447000.0,2024-05-31
ARLP,2024-08-18,Thermal Coal,Energy,3065804288.0,23.94,3383235840.0,1.591,3052946000.0,271174000.0,573120000.0,558857000.0,2024-06-30
ARRY,2024-08-18,Solar,Technology,995115328.0,6.55,1790666112.0,1.858,1651522000.0,337579000.0,130390000.0,119131000.0,2024-06-30
ARTNA,2024-08-18,Utilities—Regulated Water,Utilities,379196000.0,36.89,553855232.0,0.607,783131000.0,22434000.0,34094000.0,31159000.0,2024-06-30
ARTW,2024-08-18,Farm & Heavy Construction Machinery,Industrials,7463161.0,1.4716,15013910.0,0.001,23171111.0,8711574.0,341799.0,343479.0,2024-05-31
ASML,2024-08-18,Semiconductor Equipment & Materials,Technology,361217097728.0,918.66,360806416384.0,12.764,40741000000.0,16132300000.0,7994200000.0,7800300000.0,2024-06-30
ASTE,2024-08-18,Farm & Heavy Construction Machinery,Industrials,749227712.0,32.86,819027072.0,3.0,1107000000.0,311200000.0,12100000.0,30400000.0,2024-06-30
ATNI,2024-08-18,Telecom Services,Communication Services,390399776.0,25.83,1186746112.0,3.994,1772341000.0,268885000.0,38505000.0,33268000.0,2024-06-30
ATRI,2024-08-18,Medical Instruments & Supplies,Healthcare,809313024.0,459.85,791728832.0,9.992,260354000.0,17537000.0,14437000.0,14406000.0,2024-06-30
ATRO,2024-08-18,Aerospace & Defense,Industrials,661134016.0,19.07,866285568.0,0.082,644859000.0,141142000.0,2083000.0,2519000.0,2024-06-30
ATSG,2024-08-18,Airlines,Industrials,1012711680.0,15.4,2676420608.0,0.44,3939485000.0,428782000.0,114834000.0,146993000.0,2024-06-30
AUDC,2024-08-18,Communication Equipment,Technology,307027392.0,10.62,316401600.0,1.39,329763000.0,77390000.0,22743000.0,21230000.0,2024-06-30
AVAV,2024-08-18,Aerospace & Defense,Industrials,5371645952.0,190.44,5305814528.0,2.624,1015860000.0,144879000.0,67451000.0,71824000.0,2024-04-30
AVGO,2024-08-18,Semiconductors,Technology,771406692352.0,165.72,97489920000.0,27.019,175211000000.0,20171000000.0,13672000000.0,14281000000.0,2024-04-30
AVNW,2024-08-18,Communication Equipment,Technology,346299648.0,27.56,339207232.0,4.711,490343000.0,171138000.0,24629000.0,24275000.0,2024-03-31
BBSI,2024-08-18,Staffing & Employment Services,Industrials,903841728.0,34.58,122347760.0,22.209,688587000.0,332830000.0,66650000.0,56209000.0,2024-06-30
BCPC,2024-08-18,Specialty Chemicals,Basic Materials,5395062784.0,166.29,5617249792.0,1.965,1574966000.0,113322000.0,169341000.0,169422000.0,2024-06-30
BECN,2024-08-18,Industrial Distribution,Industrials,5331458560.0,86.17,8943156224.0,1.448,7336900000.0,1995500000.0,675800000.0,678200000.0,2024-06-30
BELFA,2024-08-18,Electronic Components,Technology,843776320.0,83.28,980242176.0,11.707,567604000.0,89755000.0,82312000.0,87911000.0,2024-06-30
BELFB,2024-08-18,Electronic Components,Technology,843772160.0,63.99,738186944.0,11.707,567604000.0,89755000.0,82312000.0,87911000.0,2024-06-30
BIDU,2024-08-18,Internet Content & Information,Communication Services,30149705728.0,88.965,178411864064.0,64.265,414697000000.0,77931000000.0,27563000000.0,22360000000.0,2024-03-31
BIIB,2024-08-18,Drug Manufacturers—General,Healthcare,29410615296.0,201.91,34161141760.0,13.105,26804100000.0,3108200000.0,1579700000.0,1964400000.0,2024-06-30
BJRI,2024-08-18,Restaurants,Consumer Cyclical,667081152.0,28.81,1155690752.0,0.699,1044136000.0,171754000.0,26316000.0,29971000.0,2024-06-30
BLDR,2024-08-18,Building Products & Equipment,Industrials,18764232704.0,161.13,23451426816.0,0.649,10721187000.0,1892541000.0,1995144000.0,1995144000.0,2024-06-30
BLKB,2024-08-18,Software—Application,Technology,4032013824.0,78.1,4971208192.0,0.748,3042748000.0,1348976000.0,121902000.0,107169000.0,2024-06-30
BLMN,2024-08-18,Restaurants,Consumer Cyclical,1467426688.0,17.27,3667816960.0,1.388,3394168000.0,867270000.0,102492000.0,293846000.0,2024-06-30
BMRN,2024-08-18,Biotechnology,Healthcare,17044990976.0,89.53,16920264704.0,6.431,7067121000.0,1067337000.0,315083000.0,238763000.0,2024-06-30
BOOM,2024-08-18,Oil & Gas Equipment & Services,Energy,234854736.0,11.72,539555456.0,0.727,869485000.0,126678000.0,43497000.0,49378000.0,2024-06-30
BRKR,2024-08-18,Medical Devices,Healthcare,9602921472.0,63.43,11676570624.0,1.205,5902600000.0,1304500000.0,484600000.0,416300000.0,2024-06-30
BV,2024-08-18,Specialty Business Services,Industrials,1394403968.0,14.74,2681904128.0,1.225,3363200000.0,524600000.0,152100000.0,115400000.0,2024-06-30
BWEN,2024-08-18,Specialty Industrial Machinery,Industrials,49027888.0,2.23,79723800.0,0.039,122533000.0,39166000.0,10959000.0,10976000.0,2024-06-30
CAAS,2024-08-18,Auto Parts,Consumer Cyclical,109272232.0,3.62,84612240.0,3.548,784993000.0,380038000.0,50610000.0,46226000.0,2024-06-30
CACC,2024-08-18,Credit Services,Financial Services,5546566144.0,457.97,11453727744.0,0.685,8255400000.0,344400000.0,244700000.0,244700000.0,2024-06-30
CAKE,2024-08-18,Restaurants,Consumer Cyclical,1891929600.0,37.19,3469976320.0,0.927,2879591000.0,642607000.0,125154000.0,195577000.0,2024-06-30
CALM,2024-08-18,Farm Products,Consumer Defensive,3469004544.0,70.74,2653521408.0,16.566,2184761000.0,227743000.0,360520000.0,308594000.0,2024-05-31
CAMT,2024-08-18,Semiconductor Equipment & Materials,Technology,4533444608.0,99.93,4359933440.0,8.078,796175000.0,107534000.0,107380000.0,83407000.0,2024-06-30
CAR,2024-08-18,Rental & Leasing Services,Industrials,3120608768.0,87.5,30213609472.0,14.328,33882000000.0,2866000000.0,1130000000.0,1170000000.0,2024-06-30
CASY,2024-08-18,Specialty Retail,Consumer Cyclical,14113132544.0,380.29,15657742336.0,5.564,6347433000.0,953466000.0,709601000.0,709601000.0,2024-04-30
CBOE,2024-08-18,Financial Data & Stock Exchanges,Financial Services,21234423808.0,202.94,22124146688.0,6.674,9255600000.0,3158900000.0,1107100000.0,1140200000.0,2024-06-30
CBRL,2024-08-18,Restaurants,Consumer Cyclical,900747328.0,40.57,2094194176.0,0.534,2157093000.0,446207000.0,64140000.0,91881000.0,2024-04-30
CCRN,2024-08-18,Medical Care Facilities,Healthcare,494619808.0,14.63,429755968.0,2.059,602883000.0,110115000.0,18881000.0,56875000.0,2024-06-30
CDNS,2024-08-18,Software—Application,Technology,76943417344.0,281.0,154006831104.0,2.244,7225741000.0,1533722000.0,1327413000.0,1184557000.0,2024-06-30
CDW,2024-08-18,Information Technology Services,Technology,29755389952.0,222.76,35284189184.0,4.981,13638700000.0,6208100000.0,1671100000.0,1674500000.0,2024-06-30
CECO,2024-08-18,Pollution & Treatment Controls,Industrials,964909824.0,27.6,1077543424.0,1.045,598133000.0,207323000.0,36082000.0,43232000.0,2024-06-30
CENT,2024-08-18,Packaged Foods,Consumer Defensive,2330498560.0,38.99,3454642176.0,8.46,3607878000.0,521445000.0,243617000.0,227164000.0,2024-06-30
CENTA,2024-08-18,Packaged Foods,Consumer Defensive,2330496768.0,33.54,3087182848.0,8.46,3607878000.0,521445000.0,243617000.0,227164000.0,2024-06-30
CENX,2024-08-18,Aluminum,Basic Materials,1267451264.0,13.66,1687952000.0,0.445,1805200000.0,428100000.0,252000000.0,13300000.0,2024-06-30
CGNX,2024-08-18,Scientific & Technical Instruments,Technology,6767429120.0,39.46,6552530944.0,1.686,2004084000.0,168783000.0,90527000.0,90527000.0,2024-06-30
CHCI,2024-08-18,Real Estate—Diversified,Real Estate,69328664.0,7.03,58604664.0,1.768,48580000.0,3203000.0,10009000.0,9577000.0,2024-06-30
CHDN,2024-08-18,Gambling,Consumer Cyclical,10051467264.0,136.91,14786564096.0,1.911,7170100000.0,763200000.0,832200000.0,684100000.0,2024-06-30
CHEF,2024-08-18,Food Distribution,Consumer Defensive,1530532352.0,38.43,2396561920.0,0.963,1715421000.0,399534000.0,113574000.0,113574000.0,2024-06-30
CHKP,2024-08-18,Software—Infrastructure,Technology,20580509696.0,185.41,18974951424.0,14.942,5581400000.0,1786900000.0,959900000.0,881100000.0,2024-06-30
CHRW,2024-08-18,Integrated Freight & Logistics,Industrials,11636818944.0,99.22,13506429952.0,0.965,5512346000.0,2244213000.0,526174000.0,526174000.0,2024-06-30
CHTR,2024-08-18,Telecom Services,Communication Services,50431819776.0,353.31,151229890560.0,4.217,148611000000.0,10726000000.0,12285000000.0,12823000000.0,2024-06-30
CHUY,2024-08-18,Restaurants,Consumer Cyclical,639244096.0,37.1,769060544.0,3.163,478075000.0,44045000.0,38686000.0,38686000.0,2024-06-30
CIEN,2024-08-18,Communication Equipment,Technology,7731328512.0,53.8,8075644928.0,8.746,5614803000.0,912191000.0,286237000.0,282248000.0,2024-04-30
CLMT,2024-08-18,Oil & Gas E&P,Energy,1455898240.0,16.95,3827898112.0,0.081,2670900000.0,1220100000.0,208300000.0,246600000.0,2024-06-30
CMCO,2024-08-18,Farm & Heavy Construction Machinery,Industrials,943522624.0,32.67,1453881472.0,2.571,1781657000.0,231505000.0,98475000.0,106847000.0,2024-06-30
CMCSA,2024-08-18,Telecom Services,Communication Services,153428443136.0,39.62,246212509696.0,1.566,262555000000.0,35342000000.0,23896000000.0,23401000000.0,2024-06-30
CME,2024-08-18,Financial Data & Stock Exchanges,Financial Services,74856964096.0,207.88,76795314176.0,5.309,123379300000.0,86974000000.0,4407500000.0,3643600000.0,2024-06-30
CMTL,2024-08-18,Communication Equipment,Technology,91180480.0,3.2,434925056.0,0.954,990999000.0,193385000.0,9214000.0,3189000.0,2024-04-30
CNMD,2024-08-18,Medical Devices,Healthcare,2076661632.0,67.36,3013681664.0,0.936,2285616000.0,266412000.0,162607000.0,162607000.0,2024-06-30
CNTY,2024-08-18,Resorts & Casinos,Consumer Cyclical,67808544.0,2.21,1055053568.0,4.015,1301694000.0,82661000.0,55481000.0,49153000.0,2024-06-30
COCO,2024-08-18,Beverages—Non-Alcoholic,Consumer Defensive,1444541696.0,25.44,1294456448.0,2.643,323036000.0,90814000.0,70663000.0,77884000.0,2024-06-30
COKE,2024-08-18,Beverages—Non-Alcoholic,Consumer Defensive,11047217152.0,1261.0,11056728064.0,216.657,5656072000.0,1539613000.0,887438000.0,796254000.0,2024-06-30
COLM,2024-08-18,Apparel Manufacturing,Consumer Cyclical,4688844288.0,80.08,4389174784.0,12.145,2760821000.0,544441000.0,293507000.0,293507000.0,2024-06-30
