ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
TBN.bk,mai,2024-08-13,Software - Application,Technology,560000000.0,5.6,184725152.0,674875296.0,122829139.0,69549461.0,2024-03-31,0.1259848657908509,0.3765023888030148
TC.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,2936999936.0,8.9,3109713920.0,3782830000.0,992033000.0,196082511.0,2024-03-31,0.07026039909029572,0.06305483914095866
TCC.bk,SET,2024-08-13,Thermal Coal,Energy,544264448.0,0.39,684661504.0,1771726000.0,503183000.0,107152892.0,2024-03-31,0.08446926276838862,0.15650491720942442
TCJ.bk,SET,2024-08-13,Farm & Heavy Construction Machinery,Industrials,346354880.0,3.28,966204864.0,2637147061.0,524056778.0,33710386.0,2024-03-31,0.0159531214880893,0.03488948074680775
TCMC.bk,SET,2024-08-13,Textile Manufacturing,Consumer Cyclical,549504768.0,0.72,3670341376.0,7782236848.22,2214618066.69,164195653.72000098,2024-03-31,0.029491181088889037,0.0447357989078782
TCOAT.bk,SET,2024-08-13,Packaging & Containers,Consumer Cyclical,262500000.0,25.0,207328992.0,677398000.0,90480000.0,4395000.0,2024-03-31,0.007488269230113917,0.021198193063129346
TEAM.bk,SET,2024-08-13,Electronic Components,Technology,2229720320.0,3.5,1756380032.0,2105280000.0,666658000.0,267828764.0,2024-06-30,0.18617035190619913,0.15248907361752562
TEAMG.bk,SET,2024-08-13,Engineering & Construction,Industrials,2077471104.0,2.54,2165438208.0,2712715000.0,1154917000.0,180438090.0,2024-03-31,0.11582893931048827,0.08332636291970331
TEGH.bk,SET,2024-08-13,Specialty Chemicals,Basic Materials,3628800000.0,3.36,7742908928.0,7955908000.0,3969457000.0,338075071.0,2024-03-31,0.08480602696483665,0.04366254002774705
TEKA.bk,SET,2024-08-13,Engineering & Construction,Industrials,666000000.0,2.22,240376000.0,1663413000.0,732037000.0,166084677.0,2024-06-30,0.17832183457593925,0.690937019502779
TFG.bk,SET,2024-08-13,Farm Products,Consumer Defensive,23591929856.0,4.06,45909647360.0,44065274000.0,22045791000.0,438460000.0,2024-06-30,0.01991236578987799,0.00955049810254086
TFM.bk,SET,2024-08-13,Farm Products,Consumer Defensive,4249999872.0,8.5,3931685888.0,3544933000.0,679647000.0,312977000.0,2024-06-30,0.10923063177637415,0.07960376513170729
TFMAMA.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,65446244352.0,198.5,59192778752.0,47306153000.0,3678844000.0,6379562023.0,2024-03-31,0.1462286391076745,0.1077760185871397
