ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
GEX.VN,2024-09-01,Electrical Equipment & Parts,Industrials,36790425616384.0,9701.953,0.03474,16.393442,21150.0,16850.0,26300.0,52442894695207.0,16766220875935.0,3701964988673.0,2571902035017.0,2024-06-30,-24.35,20.33
GVR.VN,2024-09-01,Auto Parts,Consumer Cyclical,103785535897600.0,3564.715,0.18190001,59.523808,35350.0,16450.0,39000.0,76116620474850.0,7823672450595.0,4664468707604.0,2791559757385.0,2024-06-30,-10.33,53.47
HAG.VN,2024-09-01,Real Estate—Diversified,Real Estate,19015099482112.0,128.646,0.29166,5.6689343,10650.0,7440.0,15300.0,21559728315000.0,9096892447000.0,2917757873000.0,1231005777000.0,2024-06-30,-43.66,30.14
HAH.VN,2024-09-01,Marine Shipping,Industrials,6878294179840.0,3309.177,0.11292,16.18123,41250.0,23826.088,47150.0,5925377473609.0,1025541601790.0,499021699274.0,468091890903.0,2024-06-30,-14.3,42.24
HDC.VN,2024-09-01,Real Estate—Development,Real Estate,4931830415360.0,469.86,0.32307997,58.47893,28450.0,25050.0,38500.0,5103111187512.0,2259991881717.0,248553198469.0,222587187246.0,2024-06-30,-35.33,11.95
HDG.VN,2024-09-01,Real Estate—Development,Real Estate,14871869521920.0,3436.846,0.22753,15.243902,28200.0,22181.818,33000.0,14051888960299.0,1981303705586.0,1361922060515.0,1407537965922.0,2024-06-30,-17.02,21.34
HHV.VN,2024-09-01,Infrastructure Operations,Industrials,25841301979136.0,1740.586,0.18427,18.450186,11750.0,9810.0,17666.666,38027265082211.0,3043062037581.0,1211780618873.0,1141719973263.0,2024-06-30,-50.35,16.51
HPG.VN,2024-09-01,Steel,Basic Materials,207850882203648.0,4431.76,0.08379,15.060242,25500.0,20545.455,29950.0,206609079731195.0,73551241788497.0,14083983121350.0,13734554828126.0,2024-06-30,-17.45,19.43
HQC.VN,2024-09-01,Real Estate Services,Real Estate,4757794062336.0,77.738,0.11293,104.1543,3510.0,2850.0,4810.0,10378573201192.0,3071111135830.0,72896738383.0,23754286758.0,2024-06-30,-37.04,18.8
HSG.VN,2024-09-01,Steel,Basic Materials,18266831454208.0,821.134,0.030480001,11.173184,20800.0,16100.0,26100.0,19722949936805.0,8598498885070.0,1342889893276.0,1059917339550.0,2024-06-30,-25.48,22.6
HT1.VN,2024-09-01,Building Materials,Basic Materials,5370430357504.0,1542.773,0.00973,70.92198,12200.0,10800.0,15850.0,8262882978099.0,3406358179134.0,130180823389.0,171487136025.0,2024-06-30,-29.92,11.48
HVN.VN,2024-09-01,Airlines,Industrials,69569951563776.0,1539.099,0.00856,57.142857,22100.0,10000.0,37000.0,57791529819669.0,57018513166116.0,3097790115189.0,1083002146108.0,2024-06-30,-67.42,54.75
IJC.VN,2024-09-01,Engineering & Construction,Industrials,5669988597760.0,414.927,0.25694,24.937431,13950.0,11250.0,17350.0,7869125164466.0,2462923274234.0,393344310325.0,391299096165.0,2024-06-30,-24.37,19.35
IMP.VN,2024-09-01,Drug Manufacturers—Specialty & Generic,Healthcare,6597941133312.0,3370.181,0.12955,31.249998,87800.0,47363.637,99900.0,2504991924493.0,427328101528.0,349373499510.0,351764367060.0,2024-06-30,-13.78,46.06
KBC.VN,2024-09-01,Real Estate Services,Real Estate,24451498377216.0,3995.253,0.124960005,78.125,26750.0,24200.0,36600.0,40903918932431.0,6773943233705.0,870255404760.0,589851972986.0,2024-06-30,-36.82,9.53
KDH.VN,2024-09-01,Real Estate Services,Real Estate,37367230496768.0,3229.105,0.29645002,53.19149,37700.0,27200.0,40000.0,28401330867000.0,5382844038000.0,1020497132000.0,1048807223000.0,2024-06-30,-6.1,27.85
KOS.VN,2024-09-01,Real Estate—Development,Real Estate,10532495032320.0,129.878,0.01742,370.37036,40000.0,36000.0,40600.0,4743429304933.0,1286474350249.0,144631486420.0,134957972775.0,2024-06-30,-1.5,10.0
LGC.VN,2024-09-01,Engineering & Construction,Industrials,25309371957248.0,4908.859,0.43806,11.904762,59500.0,45850.0,65700.0,22964388781632.0,2035806338555.0,1517196412994.0,1058336116851.0,2024-03-31,-10.42,22.94
