ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
CRE.VN,2024-09-09,Real Estate Services,Real Estate,1756501508096.0,370.938,0.08182,193.67264,7040.0,6500.0,10600.0,7121177412431.0,1487700934655.0,108620663740.0,80645445196.0,2024-06-30,-50.57,7.67
CSM.VN,2024-09-09,Auto Parts,Consumer Cyclical,2633236217856.0,3290.81,0.016210001,21.505377,12700.0,11700.0,18800.0,3885230923980.0,2463643763643.0,230630634416.0,149568327072.0,2024-06-30,-48.03,7.87
CTD.VN,2024-09-09,Engineering & Construction,Industrials,4599794630656.0,33500.38,0.00806,89.747314,61800.0,45000.0,78100.0,20932927804590.0,12387308833923.0,387271109054.0,26481513560.0,2024-03-31,-26.38,27.18
CTS.VN,2024-09-09,Capital Markets,Financial Services,8943106523136.0,15820.46,0.24827999,26.153982,38750.0,19000.0,46450.0,7939448771981.0,5760144563819.0,539604993200.0,468100138873.0,2024-06-30,-19.87,50.97
DBC.VN,2024-09-09,Farm Products,Consumer Defensive,12374410002432.0,4318.4,0.02015,29.90301,28950.0,17150.0,37550.0,13326282146710.0,7354493380943.0,549436517509.0,527083364676.0,2024-06-30,-29.71,40.76
DBD.VN,2024-09-09,Drug Manufacturers—Specialty & Generic,Healthcare,3613713498112.0,2828.935,0.15883,13.406409,40850.0,39000.0,48000.0,2043728382941.0,345141567709.0,315672062618.0,293881876426.0,2024-06-30,-17.5,4.53
DCM.VN,2024-09-09,Agricultural Inputs,Basic Materials,10662083297280.0,20077.055,0.112770006,14.867613,37150.0,25700.0,41800.0,16830746137552.0,6074443454998.0,1648693708746.0,911871746945.0,2024-06-30,-12.52,30.82
DGC.VN,2024-09-09,Specialty Chemicals,Basic Materials,34232026005504.0,26960.91,0.30667,15.34074,113500.0,76500.0,134000.0,15349509283684.0,1956650424169.0,3414106397448.0,2744504211819.0,2024-06-30,-18.06,32.6
DGW.VN,2024-09-09,Electronics & Computer Distribution,Technology,12204926566400.0,4990.466,0.01845,27.4677,62500.0,40100.0,69900.0,7337282432007.0,4521867146039.0,591451288240.0,466924949001.0,2024-06-30,-11.84,35.84
DHC.VN,2024-09-09,Paper & Paper Products,Basic Materials,3249461526528.0,5992.922,0.07191,12.433097,37400.0,35800.0,48950.0,3091235609253.0,1207871356362.0,309990833896.0,298060405437.0,2024-06-30,-30.88,4.28
DHG.VN,2024-09-09,Drug Manufacturers—Specialty & Generic,Healthcare,12180628963328.0,20739.66,0.16826001,17.204653,107100.0,95000.0,125900.0,6155169130537.0,1832150704495.0,969220971286.0,881705372074.0,2024-06-30,-17.55,11.3
DIG.VN,2024-09-09,Real Estate—Development,Real Estate,15280892805120.0,4877.952,0.025910001,357.14285,22450.0,19050.0,33950.0,18444556817607.0,8174716373940.0,151439711581.0,166344465802.0,2024-06-30,-51.22,15.14
DMC.VN,2024-09-09,Drug Manufacturers—Specialty & Generic,Healthcare,1876480360448.0,16965.525,0.10903,13.946617,70800.0,54000.0,74200.0,1958544130538.0,455225218272.0,202101000140.0,209638852496.0,2024-06-30,-4.8,23.73
DPG.VN,2024-09-09,Engineering & Construction,Industrials,5478886670336.0,5993.346,0.11266,15.215515,53600.0,31850.0,62800.0,6145874987315.0,2237053595949.0,475874981321.0,474161090273.0,2024-06-30,-17.16,40.58
DPM.VN,2024-09-09,Chemicals,Basic Materials,6227095453696.0,24798.598,0.04716,28.74915,35450.0,28400.0,41800.0,15739669563133.0,3402337163803.0,778324608618.0,511788983988.0,2024-06-30,-17.91,19.89
DRC.VN,2024-09-09,Auto Parts,Consumer Cyclical,4276065927168.0,3242.652,0.06509,13.248903,33100.0,20450.0,38150.0,3671905274749.0,1759495633474.0,412100902497.0,362671211819.0,2024-06-30,-15.26,38.22
DVP.VN,2024-09-09,Marine Shipping,Industrials,1763969466368.0,29700.762,0.40325,11.643663,73900.0,58200.0,82600.0,1646403792080.0,347791560923.0,544104856420.0,219265490588.0,2024-06-30,-11.77,21.24
DXG.VN,2024-09-09,Real Estate—Diversified,Real Estate,19998380654592.0,1574.375,0.03628,58.478424,15450.0,12050.0,23200.0,28951097502002.0,10762654289166.0,1095539500323.0,1249437431401.0,2024-06-30,-50.16,22.01
