ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
IMH.bk,mai,2024-08-15,Medical Care Facilities,Healthcare,1065729984.0,4.98,1949674112.0,1972593679.31,295326954.12,50918686.07,2024-03-31,0.030358132851071706,0.02611651134751283
IMPACT.bk,SET,2024-08-15,REIT - Specialty,Real Estate,16752249856.0,11.3,19692412928.0,20710866560.0,4360467609.0,990734634.0,2024-03-31,0.060593911926498045,0.05031047427363798
IND.bk,mai,2024-08-15,Engineering & Construction,Industrials,283500000.0,0.81,80712000.0,741584000.0,302992000.0,11533457.0,2024-03-31,0.026296551236684663,0.1428964342353058
INET.bk,SET,2024-08-15,Information Technology Services,Technology,2194235648.0,4.38,6340313088.0,14437053119.0,3342169116.0,1037338203.0,2024-06-30,0.0934969849815022,0.1636099335478116
INGRS.bk,SET,2024-08-15,Auto Parts,Consumer Cyclical,463020800.0,0.32,3607326720.0,6966894000.0,3078629000.0,291363411.0,2024-04-30,0.07493404153266303,0.08076989793705185
INOX.bk,SET,2024-08-15,Steel,Basic Materials,3586026752.0,0.46,738861504.0,11661323043.0,2332671559.0,88185280.0,2024-06-30,0.009453164817149685,0.11935292273665404
INSET.bk,SET,2024-08-15,Information Technology Services,Technology,1739334272.0,2.14,1394349184.0,1989173978.75,510591545.87,115257123.96,2024-06-30,0.07795109788738719,0.08266015807414852
INTUCH.bk,SET,2024-08-15,Telecom Services,Communication Services,268560285696.0,83.75,266629316608.0,41162001000.0,20951000.0,15635275018.0,2024-06-30,0.380040738337986,0.05864049466468488
IP.bk,mai,2024-08-15,Biotechnology,Healthcare,2118704000.0,3.5,2323519488.0,2961813000.0,480761000.0,69220132.0,2024-03-31,0.027899508756769307,0.029791070123359343
IRC.bk,SET,2024-08-15,Auto Parts,Consumer Cyclical,2517924864.0,13.1,765985792.0,4975559000.0,688251000.0,243668382.0,2024-03-31,0.056834820824629345,0.31811083775298016
IRCP.bk,mai,2024-08-15,Information Technology Services,Technology,324210112.0,0.52,399854336.0,1260984000.0,625471000.0,62292152.0,2024-03-31,0.09801869041231258,0.1557871114345
IRPC.bk,SET,2024-08-15,Oil & Gas Refining & Marketing,Energy,28370733056.0,1.39,102866575360.0,193335965000.0,54075947000.0,2234368614.0,2024-06-30,0.016044580821467366,0.0217210362664493
IT.bk,SET,2024-08-15,Electronics & Computer Distribution,Technology,1905274752.0,5.2,3265689088.0,3814862000.0,2208770000.0,173739157.0,2024-06-30,0.10817509644528459,0.053201377203487166
ITC.bk,SET,2024-08-15,Packaged Foods,Consumer Defensive,68100001792.0,22.7,55452209152.0,26461382000.0,2324603000.0,3393646000.0,2024-06-30,0.14060061617997993,0.06119947341859149
ITD.bk,SET,2024-08-15,Engineering & Construction,Industrials,3009525760.0,0.57,49664151552.0,120298016000.0,74035470000.0,2731089000.0,2024-03-31,0.05903455897131126,0.05499115387364385
ITEL.bk,SET,2024-08-15,Telecom Services,Communication Services,2861195776.0,2.06,7536039424.0,9223134842.0,3684847515.0,643335277.0,2024-03-31,0.11616141218669568,0.08536782264582803
ITNS.bk,mai,2024-08-15,Information Technology Services,Technology,296780000.0,1.42,117375000.0,513986000.0,64925000.0,60693024.0,2024-06-30,0.1351554109575314,0.5170864664536742
ITTHI.bk,mai,2024-08-15,"Furnishings, Fixtures & Appliances",Consumer Cyclical,464400000.0,1.72,374363136.0,441917167.0,56648288.0,39255868.0,2023-09-30,0.10189213336382667,0.1048603995025835
J.bk,SET,2024-08-15,Real Estate Services,Real Estate,2161880320.0,1.48,4401003008.0,6589531000.0,1180093000.0,537958113.0,2024-06-30,0.0994480596690451,0.12223534317566183
JAK.bk,mai,2024-08-15,Real Estate - Development,Real Estate,364800000.0,1.14,662395712.0,853102678.0,166534055.0,60762974.0,2024-06-30,0.08850240451492349,0.09173213669595735
JAS.bk,SET,2024-08-15,Telecom Services,Communication Services,20896016384.0,2.52,19015333888.0,16268626000.0,3429412000.0,22617786871.0,2024-06-30,1.761617718265308,1.1894498936604736
JCK.bk,SET,2024-08-15,Real Estate - Development,Real Estate,1254907520.0,0.33,6154824704.0,9097491000.0,3840008000.0,1562177983.0,2024-03-31,0.2971341957739093,0.2538135622261907
JCT.bk,SET,2024-08-15,Household & Personal Products,Consumer Defensive,1083374976.0,80.25,790686016.0,1561644000.0,107828000.0,125312630.0,2024-06-30,0.08619566024861468,0.15848595708565055
JDF.bk,SET,2024-08-15,Packaged Foods,Consumer Defensive,1356000000.0,2.26,1306185984.0,814020000.0,85590000.0,59613359.0,2024-06-30,0.081838143678871,0.04563925790831331
JMART.bk,SET,2024-08-15,Specialty Retail,Consumer Cyclical,17714038784.0,12.1,48418689024.0,59914404000.0,12947080000.0,3635866544.0,2024-06-30,0.07741268257054627,0.07509221371519965
JMT.bk,SET,2024-08-15,Credit Services,Financial Services,19268569088.0,13.2,29626925056.0,39836303000.0,6532052000.0,2733256361.0,2024-06-30,0.08206929382678506,0.09225582323625128
JPARK.bk,mai,2024-08-15,Infrastructure Operations,Industrials,2500000000.0,6.25,2249161728.0,906940850.0,159427377.0,97112357.0,2024-06-30,0.1299138550777666,0.043177133858824046
JR.bk,SET,2024-08-15,Engineering & Construction,Industrials,2477600000.0,3.26,2427823104.0,3824836000.0,2019788000.0,51211643.0,2024-03-31,0.028371346911550275,0.02109364677995914
JSP.bk,mai,2024-08-15,Packaged Foods,Consumer Defensive,906400064.0,1.91,1238606080.0,1371711000.0,209455000.0,44761058.0,2024-03-31,0.03851221933894082,0.036138251477015194
JTS.bk,SET,2024-08-15,Telecom Services,Communication Services,44506791936.0,63.0,45055979520.0,2847399000.0,1824134000.0,519643094.0,2024-06-30,0.5078284647671913,0.011533277037498086
JUBILE.bk,mai,2024-08-15,Luxury Goods,Consumer Cyclical,2021566720.0,11.6,1370861312.0,2108941000.0,303266000.0,220540246.06,2024-03-31,0.12213728719730849,0.1608771391602304
K.bk,mai,2024-08-15,Specialty Business Services,Industrials,598800256.0,1.09,492186304.0,755855489.0,270723858.0,61537695.0,2024-03-31,0.12684741844837572,0.12502927143620804
KAMART.bk,SET,2024-08-15,Household & Personal Products,Consumer Defensive,16811624448.0,13.1,15528118272.0,4488260000.0,764745000.0,985020540.0,2024-03-31,0.2645405054095391,0.06343463662150035
KBS.bk,SET,2024-08-15,Confectioners,Consumer Defensive,2976000000.0,4.96,8448461824.0,14033789000.0,4658636000.0,1701101256.0,2024-06-30,0.1814478394112608,0.20135041045786467
KCAR.bk,SET,2024-08-15,Rental & Leasing Services,Industrials,1130000000.0,4.52,4224907776.0,5865032851.04,1450103137.96,259062520.5,2024-03-31,0.0586787417549326,0.061317911356936566
KCC.bk,mai,2024-08-15,Asset Management,Financial Services,1298501376.0,2.1,2480021248.0,2729917681.0,46564074.0,177395531.0,2024-06-30,0.06610963629140511,0.07152984319914989
KCE.bk,SET,2024-08-15,Electronic Components,Technology,45510463488.0,38.5,44782571520.0,18880805000.0,4207866000.0,2436773622.0,2024-06-30,0.16607263357395544,0.05441343672977179
KCG.bk,SET,2024-08-15,Packaged Foods,Consumer Defensive,5259249664.0,9.65,6585472000.0,5325834000.0,2317336000.0,481992142.0,2024-03-31,0.1602102251688384,0.07319021962283037
KCM.bk,mai,2024-08-15,Metal Fabrication,Industrials,183600000.0,0.27,377093184.0,670034213.09,199613794.61,676940.6500000004,2024-03-31,0.001439012048387055,0.0017951548283620007
