Code,Name,IndustryName,Exchange,TotalShares
PXM,CTCP Xây lắp Dầu khí Miền Trung,Bán buôn hàng lâu bền,UPCoM,15000000
PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,Xây dựng công nghiệp nặng và dân dụng,HOSE,60000000
PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,Xây dựng công nghiệp nặng và dân dụng,HOSE,20000000
PYU,CTCP Môi trường và Công trình Đô thị Phúc Yên,Dịch vụ quản lý và tái chế chất thải,UPCoM,2073985
PacificAudit,Công ty TNHH Kiểm toán Thái Bình Dương,Dịch vụ pháp lý,Khác,0
Packsimex,CTCP Xuất nhập khẩu Sản xuất Gia công và Bao bì,Bán buôn hàng tiêu dùng,OTC,0
PeaceTour,CTCP Du lịch Hòa Bình Việt Nam,Khách sạn và phòng ở,OTC,0
PetroKienGiang,CTCP Xăng dầu Dầu khí Kiên Giang,Bán buôn hàng tiêu dùng,OTC,0
PetroTrade,Công ty Thương mại Xăng dầu Lào,Phân phối khí đốt thiên nhiên,Lào,235000000
PetroVietnam,Tập đoàn Dầu khí Việt Nam,"Khai thác dầu mỏ, khí đốt",Khác,0
PhanPhoiVietnam,CTCP Đầu tư và Phát triển Hệ thống Phân phối Việt Nam,Bán buôn hàng tiêu dùng,OTC,0
PhanVu,CTCP Đầu tư Phan vũ,"Xây dựng nhà cửa, cao ốc",OTC,15000000
PhimGiaiPhong,CTCP Phim Giải phóng,Công nghiệp thu âm và phim ảnh,OTC,0
PhimThienNgan,CTCP Phim Thiên Ngân,Công nghiệp thu âm và phim ảnh,OTC,0
PhuDat,CTCP Đầu tư và Xây dựng Dầu khí Phú Đạt,Bất động sản ,OTC,43000000
PhuHung,CTCP Bảo hiểm Phú Hưng,Bảo hiểm và các hoạt động liên quan,OTC,30000000
PhuLong,CTCP Địa ốc Phú Long,Phát triển bất động sản,OTC,0
PhuQuoc,CTCP Du lịch Phú Quốc,Khách sạn và phòng ở,OTC,0
PhuTung,CTCP Xuất nhập khẩu Máy và Phụ tùng,Bán buôn hàng tiêu dùng,OTC,0
PhuongNamSF,CTCP Chế biến Thực phẩm Phương Nam,"Ngư nghiệp, săn bắt ",OTC,0
PhuongTrang,CTCP Du lịch và Vận tải Phương Trang,Hỗ trợ vận tải,OTC,0
Pisico,CTCP Chế biến Gỗ nội thất Pisico,"Sản xuất các sản phẩm điện tử, vi tính",OTC,0
PisicoDongAn,CTCP Chế biến gỗ Pisico Đồng An,Sản xuất các sản phẩm gỗ,OTC,0
Porycoast,CTCP Tư vấn Thiết kế Cảng - Kỹ thuật biển,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",OTC,0
Prevoir,Công ty TNHH Bảo hiểm Nhân thọ Prévoir Việt Nam,Bảo hiểm và các hoạt động liên quan,Khác,0
Proconco,CTCP Việt Pháp Sản xuất Thức ăn Gia súc PROCONCO,Sản xuất thực phẩm,OTC,0
Prudential,Công ty TNHH Bảo hiểm Nhân thọ Prudiential Việt Nam,Bảo hiểm và các hoạt động liên quan,Khác,0
QBR,CTCP Đường sắt Quảng Bình,Hỗ trợ vận tải,UPCoM,1760500
QBS,CTCP Xuất nhập khẩu Quảng Bình,Bán buôn hàng tiêu dùng,HOSE,69329928
QCAudit,Công ty TNHH Kiểm toán Quy Chuẩn,Dịch vụ pháp lý,Khác,0
QCC,CTCP Đầu tư Xây dựng và Phát triển Hạ tầng Viễn thông,"Xây dựng nhà cửa, cao ốc",UPCoM,1500000
QCG,CTCP Quốc Cường Gia Lai,Phát triển bất động sản,HOSE,275129310
QHD,CTCP Que hàn điện Việt Đức,"Sản xuất thiết bị, máy móc",HNX,5524716
QHW,CTCP Nước khoáng Quảng Ninh,Sản xuất đồ uống và thuốc lá,UPCoM,8000000
QLD,CTCP Quản lý và Xây dựng Giao thông Lạng Sơn,Xây dựng công nghiệp nặng và dân dụng,UPCoM,1207400
QLT,CTCP Quản lý Bảo trì Đường thủy Nội địa Số 10,Hỗ trợ vận tải,UPCoM,1500000
QNAASC,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán Kiểm toán Quảng Ninh,Dịch vụ pháp lý,Khác,0
QNC,CTCP Xi măng và Xây dựng Quảng Ninh,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,38721909
QNP,CTCP Cảng Quy Nhơn,Hỗ trợ vận tải,OTC,40409950
QNS,CTCP Đường Quảng Ngãi,Sản xuất thực phẩm,UPCoM,356939955
QNSC,CTCP Cung ứng Tàu biển Quảng Ninh,Hỗ trợ vận tải,OTC,0
QNT,Trung tâm Tư vấn xây dựng thị xã Điện Bàn,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,134050
QNU,CTCP Môi trường Đô thị Quảng Nam,"Nước, chất thải và các hệ thống khác",UPCoM,6800000
QNW,CTCP Cấp thoát nước và Xây dựng Quảng Ngãi,"Nước, chất thải và các hệ thống khác",UPCoM,20000000
QPH,CTCP Thủy điện Quế Phong,"Phát, truyền tải và phân phối điện năng",UPCoM,18583100
QSP,CTCP Tân Cảng Quy Nhơn,Hỗ trợ vận tải,UPCoM,10792275
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1620000
QTC,CTCP Công trình Giao thông Vận tải Quảng Nam,Xây dựng công nghiệp nặng và dân dụng,HNX,2700000
QTP,CTCP Nhiệt điện Quảng Ninh,"Phát, truyền tải và phân phối điện năng",UPCoM,450000000
QVA,Công ty TNHH Kiểm toán Quảng Việt,Dịch vụ pháp lý,Khác,0
QuangMinh,Công ty TNHH Kiểm toán Quang Minh,Dịch vụ pháp lý,Khác,0
QuangtruongQT,CTCP Thương mại Dịch vụ Quảng trường Quốc tế,Của hàng hàng hóa tổng hợp,OTC,0
QuyDauTuVN,CTCP Quản lý Quỹ đầu tư Việt Nam,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
QuyVCBF,Quỹ đầu tư Cân bằng Chiến lược VCBF,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
QuyVietCat,CTCP Quản lý Quỹ Việt Cát,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
RAL,CTCP Bóng đèn Phích nước Rạng Đông,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,11500000
RAT,CTCP Vận tải và Thương mại Đường sắt,Vận tải đường sắt,UPCoM,5221841
RBC,CTCP Công nghiệp và Xuất nhập khẩu Cao su,Sản xuất các sản phẩm nhựa và cao su,UPCoM,10030308
RCC,CTCP Tổng Công ty Công trình Đường sắt,Hỗ trợ vận tải,UPCoM,15457383
RCD,CTCP  Xây dựng - Địa ốc Cao su,"Xây dựng nhà cửa, cao ốc",UPCoM,5300062
RCL,CTCP Địa ốc Chợ Lớn,Phát triển bất động sản,HNX,12598930
RDP,CTCP Rạng Đông Holding,Sản xuất các sản phẩm nhựa và cao su,HOSE,41069921
RECO,CTCP Cơ khí Cao su,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,OTC,0
REE,CTCP Cơ Điện Lạnh,Nhà thầu chuyên môn,HOSE,310058841
REM,CTCP Tu bổ Di tích Trung ương - Vinaremon,"Xây dựng nhà cửa, cao ốc",OTC,1148600
REN,CTCP Xây dựng và Đầu tư KDL Sinh Thái,Dịch vụ ăn uống,OTC,2818032
RES10,CTCP Địa ốc 10,"Xây dựng nhà cửa, cao ốc",OTC,0
RESCO8,CTCP Địa  ốc 8,Kho bãi,OTC,0
RESCONHA,CTCP Phát triển và Kinh doanh Nhà,"Xây dựng nhà cửa, cao ốc",Khác,0
RGC,CTCP Đầu tư PV - Inconess,"Nghệ thuật trình diễn, thể thao và các ngành liên quan",UPCoM,89123600
RHC,CTCP Thủy điện Ry Ninh II,"Phát, truyền tải và phân phối điện năng",OTC,5120000
RHN,CTCP Đường sắt Hà Ninh,Xây dựng công nghiệp nặng và dân dụng,UPCoM,1509900
RIC,CTCP Quốc tế Hoàng Gia,"Công nghiệp giải trí, đánh bạc và tiêu khiển",HOSE,28708169
RLC,CTCP Đường bộ Lào Cai,Xây dựng công nghiệp nặng và dân dụng,UPCoM,1138689
RNG,CTCP Quản lý Quỹ Đối tác Toàn cầu,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
ROS,CTCP Xây dựng FLC Faros,Xây dựng công nghiệp nặng và dân dụng,HOSE,567598121
ROSE,CTCP Chứng khoán Globalmind Capital,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
RTB,CTCP Cao su Tân Biên,"Sản xuất hóa chất, dược phẩm",UPCoM,87945000
